latitude,longitude,date_start,date_end,best_est
40.28256,69.62216,11/03/1998 00:00:00,11/09/1998 00:00:00,70
39,71,05/05/1992 00:00:00,05/12/1992 00:00:00,0
40.28256,69.62216,11/08/1998 00:00:00,11/08/1998 00:00:00,4
39.18758,68.77032,11/11/1998 00:00:00,11/13/1998 00:00:00,32
40.28256,69.62216,11/03/1998 00:00:00,11/05/1998 00:00:00,63
39.165833,68.823889,11/03/1998 00:00:00,11/06/1998 00:00:00,1
40.28256,69.62216,11/03/1998 00:00:00,11/06/1998 00:00:00,138
40,69,11/03/1998 00:00:00,11/16/1998 00:00:00,77
40.28256,69.62216,11/03/1998 00:00:00,11/04/1998 00:00:00,100
40.234166,69.694812,11/03/1998 00:00:00,11/03/1998 00:00:00,4
37.49623,68.26299,01/27/1999 00:00:00,01/27/1999 00:00:00,1
38.867761,69.96642,08/28/2000 00:00:00,09/06/2000 00:00:00,33
38.867761,69.96642,08/29/2000 00:00:00,09/01/2000 00:00:00,13
39,71,01/01/1995 00:00:00,11/02/1995 00:00:00,27
40.12649,70.62526,08/03/2006 00:00:00,08/03/2006 00:00:00,2
38.69529,70.48422,07/08/2009 00:00:00,07/08/2009 00:00:00,3
40.1753,70.8567,05/12/2006 00:00:00,05/12/2006 00:00:00,1
38.38097,73.71607,05/12/2006 00:00:00,05/12/2006 00:00:00,5
37.489744,71.553045,05/11/2009 00:00:00,05/11/2009 00:00:00,1
39.23491,70.35998,07/28/2009 00:00:00,07/28/2009 00:00:00,2
38.872717,70.086294,07/16/2009 00:00:00,07/16/2009 00:00:00,5
39,71,07/01/1995 00:00:00,07/15/1995 00:00:00,5
40.12649,70.62526,10/18/2009 00:00:00,10/18/2009 00:00:00,4
39.02871,70.37446,09/22/2010 00:00:00,09/22/2010 00:00:00,5
39.23491,70.35998,09/24/2010 00:00:00,09/24/2010 00:00:00,3
39.23491,70.35998,09/25/2010 00:00:00,09/25/2010 00:00:00,1
39.02871,70.37446,10/04/2010 00:00:00,10/04/2010 00:00:00,5
39.23491,70.35998,10/03/2010 00:00:00,10/04/2010 00:00:00,7
39.23491,70.35998,10/06/2010 00:00:00,10/06/2010 00:00:00,0
39.23491,70.35998,09/22/2010 00:00:00,10/05/2010 00:00:00,1
39.23491,70.35998,09/22/2010 00:00:00,10/15/2010 00:00:00,0
39.02871,70.37446,10/17/2010 00:00:00,10/17/2010 00:00:00,3
38.28995,70.134603,10/21/2010 00:00:00,10/21/2010 00:00:00,2
39.01084,70.15082,10/20/2010 00:00:00,10/21/2010 00:00:00,1
39.23491,70.35998,10/22/2010 00:00:00,10/22/2010 00:00:00,5
39.97538,70.569582,10/28/2010 00:00:00,10/28/2010 00:00:00,3
39.23491,70.35998,10/25/2010 00:00:00,10/25/2010 00:00:00,3
39.97538,70.569582,10/28/2010 00:00:00,10/28/2010 00:00:00,0
39,71,04/28/1996 00:00:00,04/28/1996 00:00:00,5
39.025949,68.786692,06/03/2010 00:00:00,06/03/2010 00:00:00,3
40.28256,69.62216,09/03/2010 00:00:00,09/03/2010 00:00:00,0
38.872717,70.086294,09/19/2010 00:00:00,09/19/2010 00:00:00,28
39,71,12/19/1992 00:00:00,12/19/1992 00:00:00,1
38.085474,69.756102,09/14/1992 00:00:00,09/15/1992 00:00:00,9
37.833994,68.781858,09/08/1992 00:00:00,09/10/1992 00:00:00,50
38.389166,69.322716,09/17/1993 00:00:00,09/17/1993 00:00:00,2
37.113023,67.983665,09/17/1993 00:00:00,09/17/1993 00:00:00,5
37.70004,72.16748,04/21/1993 00:00:00,04/23/1993 00:00:00,30
38.598559,69.107454,04/24/1993 00:00:00,04/25/1993 00:00:00,32
37.833994,68.781858,09/23/1992 00:00:00,09/23/1992 00:00:00,6
38.56,68.773889,10/24/1992 00:00:00,10/24/1992 00:00:00,24
38.56,68.773889,10/24/1992 00:00:00,10/25/1992 00:00:00,124
37.84527,68.85842,09/15/1992 00:00:00,09/15/1992 00:00:00,1
39.179356,70.881516,07/26/1994 00:00:00,07/26/1994 00:00:00,12
37.70004,72.16748,03/10/1994 00:00:00,03/10/1994 00:00:00,1
37.833994,68.781858,10/03/1992 00:00:00,10/03/1992 00:00:00,18
38.78314,70.30417,07/11/2009 00:00:00,07/11/2009 00:00:00,1
39.23491,70.35998,11/14/2010 00:00:00,11/14/2010 00:00:00,2
37.110169,68.315717,09/06/2010 00:00:00,09/09/2010 00:00:00,21
40.234166,69.694812,11/04/1998 00:00:00,11/04/1998 00:00:00,6
40.28256,69.62216,11/04/1998 00:00:00,11/05/1998 00:00:00,16
37.70004,72.16748,09/19/1993 00:00:00,09/19/1993 00:00:00,20
37.841372,70.04865,04/24/1993 00:00:00,04/26/1993 00:00:00,10
38.45373,70.78902,08/01/1994 00:00:00,08/01/1994 00:00:00,0
38.889034,71.122508,11/13/1995 00:00:00,11/13/1995 00:00:00,3
38.598559,69.107454,10/21/1995 00:00:00,10/21/1995 00:00:00,2
39.12405,70.84009,06/26/1995 00:00:00,06/26/1995 00:00:00,1
38,73,04/11/1995 00:00:00,04/11/1995 00:00:00,20
37.83333,69,06/01/1997 00:00:00,08/30/1997 00:00:00,36
38.358793,71.448499,06/27/1995 00:00:00,06/27/1995 00:00:00,1
39.02871,70.37446,07/02/1995 00:00:00,07/02/1995 00:00:00,2
39.23491,70.35998,07/04/1995 00:00:00,07/04/1995 00:00:00,8
38.56,68.773889,11/18/1992 00:00:00,11/18/1992 00:00:00,1
39.23491,70.35998,11/19/1995 00:00:00,11/19/1995 00:00:00,1
37.489744,71.553045,04/11/1995 00:00:00,04/11/1995 00:00:00,30
37.70004,72.16748,04/07/1995 00:00:00,04/12/1995 00:00:00,2
38.56,68.773889,07/29/1996 00:00:00,07/29/1996 00:00:00,1
38.56,68.773889,02/10/1995 00:00:00,02/10/1995 00:00:00,2
38.867761,69.96642,11/13/1995 00:00:00,11/14/1995 00:00:00,1
38.56,68.773889,04/14/1995 00:00:00,04/14/1995 00:00:00,2
36.734133,69.533559,04/13/1995 00:00:00,04/13/1995 00:00:00,0
37.66101,69.62849,04/16/1995 00:00:00,04/16/1995 00:00:00,3
39.02871,70.37446,05/25/1995 00:00:00,05/25/1995 00:00:00,2
38.69331,69.73692,08/29/1995 00:00:00,08/29/1995 00:00:00,1
39.02871,70.37446,06/03/1995 00:00:00,06/03/1995 00:00:00,9
37.66101,69.62849,10/01/1993 00:00:00,10/14/1993 00:00:00,7
38.56,68.773889,12/10/1992 00:00:00,12/11/1992 00:00:00,68
37.8,70,01/25/1994 00:00:00,01/25/1994 00:00:00,0
38.01,68.6,10/01/1992 00:00:00,11/30/1992 00:00:00,12
38.889034,71.122508,08/11/1994 00:00:00,08/11/1994 00:00:00,20
38.8468,70.032891,08/18/1994 00:00:00,08/18/1994 00:00:00,14
37.52526,69.33277,09/21/1993 00:00:00,09/28/1993 00:00:00,10
37.833994,68.781858,09/25/1992 00:00:00,09/27/1992 00:00:00,40
37.70004,72.16748,10/02/1993 00:00:00,10/07/1993 00:00:00,3
38.56,68.773889,05/10/1992 00:00:00,05/10/1992 00:00:00,15
37.66101,69.62849,08/24/1994 00:00:00,08/24/1994 00:00:00,24
38.598559,69.107454,04/27/1993 00:00:00,04/28/1993 00:00:00,24
38.889034,71.122508,05/04/1996 00:00:00,05/04/1996 00:00:00,3
38.889034,71.122508,05/26/1996 00:00:00,05/28/1996 00:00:00,16
38.69331,69.73692,01/28/1993 00:00:00,01/29/1993 00:00:00,6
37.8,70,01/06/1994 00:00:00,01/06/1994 00:00:00,0
39.02871,70.37446,06/15/1994 00:00:00,06/15/1994 00:00:00,6
38.653441,69.010268,07/22/1993 00:00:00,07/22/1993 00:00:00,90
38.69529,70.48422,10/15/1993 00:00:00,10/20/1993 00:00:00,2
38,73,09/05/1994 00:00:00,09/10/1994 00:00:00,130
38.56,68.773889,03/17/1995 00:00:00,03/17/1995 00:00:00,1
39.2,70.8,12/28/1995 00:00:00,12/28/1995 00:00:00,2
38.867761,69.96642,11/01/1995 00:00:00,11/01/1995 00:00:00,2
38.397294,68.658242,12/06/1992 00:00:00,12/06/1992 00:00:00,19
39.02871,70.37446,12/27/1995 00:00:00,12/27/1995 00:00:00,2
38.598559,69.107454,10/24/1994 00:00:00,10/24/1994 00:00:00,0
37.833994,68.781858,06/14/1994 00:00:00,06/14/1994 00:00:00,1
38.889034,71.122508,11/22/1995 00:00:00,11/22/1995 00:00:00,0
37.619566,70.048117,07/29/1993 00:00:00,07/29/1993 00:00:00,20
38,73,07/30/1993 00:00:00,07/30/1993 00:00:00,20
